가	亜
각	亡
간	交
갇	亥
갈	亦
갉	亨
갊	享
감	京
갑	亭
값	亮
갓	人
갔	什
강	仁
갖	仇
갗	今
같	介
갚	仏
갛	仔
개	仕
객	他
갠	付
갤	仙
갬	仝
갭	代
갯	令
갰	以
갱	仮
갸	仰
갹	仲
갼	件
걀	任
걋	企
걍	伊
걔	伍
걘	伎
걜	伏
거	伐
걱	休
건	会
걷	伝
걸	伯
걺	伴
검	伶
겁	伸
것	伺
겄	似
겅	伽
겆	佃
겉	但
겊	位
겋	低
게	住
겐	佐
겔	佑
겜	体
겝	何
겟	余
겠	作
겡	佳
겨	併
격	佼
겪	使
견	侃
겯	來
결	例
겸	侍
겹	侑
겻	供
겼	依
경	侠
곁	価
계	侭
곈	侮
곌	侯
곕	侵
곗	侶
고	便
곡	係
곤	促
곧	俄
골	俊
곪	俐
곬	俗
곯	保
곰	俠
곱	信
곳	俣
공	修
곶	俳
과	俵
곽	俸
관	俺
괄	倉
괆	個
괌	倍
괍	們
괏	倒
광	倖
괘	候
괜	借
괠	倣
괩	値
괬	倦
괭	倫
괴	倭
괵	倶
괸	倹
괼	偉
굄	偏
굅	停
굇	健
굉	偲
교	側
굔	偵
굘	偶
굡	偽
굣	傍
구	傑
국	傘
군	備
굳	催
굴	傭
굵	債
굶	傷
굻	傾
굼	僅
굽	働
굿	像
궁	僑
궂	僕
궈	僚
궉	僧
권	僻
궐	儀
궜	億
궝	儒
궤	償
궷	優
귀	儲
귁	允
귄	元
귈	兄
귐	充
귑	兆
귓	兇
규	先
균	光
귤	克
그	免
극	兎
근	児
귿	党
글	兜
긁	入
금	全
급	八
긋	公
긍	六
긔	共
기	兵
긱	其
긴	具
긷	典
길	兼
긺	内
김	円
깁	冊
깃	再
깅	冒
깆	冗
깊	写
까	冠
깍	冥
깎	冨
깐	冬
깔	冴
깖	冶
깜	冷
깝	凄
깟	准
깠	凉
깡	凋
깥	凌
깨	凍
깩	凛
깬	凜
깰	凝
깸	几
깹	凡
깻	処
깼	凧
깽	凪
꺄	凰
꺅	凱
꺌	凶
꺼	凸
꺽	凹
꺾	出
껀	函
껄	刀
껌	刃
껍	分
껏	切
껐	刈
껑	刊
